Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for windows-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:39:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16644816k(3574404k free), swap 41039712k(11202652k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=266317056 -XX:+ManagementServer -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
9.356: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184433K->14961K(281600K), 0.0016343 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.399: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184433K->14961K(281600K), 0.0015045 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.447: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184433K->14993K(281600K), 0.0011941 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.490: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184465K->14961K(281600K), 0.0015421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.532: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184433K->14993K(281600K), 0.0012185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.574: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184465K->14961K(281600K), 0.0012059 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.616: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184433K->14961K(281600K), 0.0013145 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.658: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184433K->14961K(281600K), 0.0014798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.706: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184433K->14961K(281600K), 0.0011607 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.746: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184433K->14993K(281600K), 0.0012763 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.786: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184465K->14961K(281600K), 0.0011531 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.826: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184433K->14993K(281600K), 0.0013984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.866: [GC (Allocation Failure) [PSYoungGen: 169504K->96K(169984K)] 184465K->15057K(281600K), 0.0016339 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.906: [GC (Allocation Failure) [PSYoungGen: 169568K->0K(169984K)] 184529K->14985K(281600K), 0.0011342 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.947: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184457K->14985K(281600K), 0.0014858 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
9.987: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184457K->14985K(281600K), 0.0012832 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.028: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184457K->14985K(281600K), 0.0012417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.068: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184457K->15017K(281600K), 0.0015011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.108: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184489K->14985K(281600K), 0.0014265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.150: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184457K->14985K(281600K), 0.0011947 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
